Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1039,2000,   Poland,,616,B, 5 249, 7 945, 8 514, 6 091, 5 618, 5 864, 7 152, 7 556, 8 679, 13 195, 14 293, 66 156, 78 417, 60 505, 60 227, 131 467, 486 928
1040,2005,   Poland,,616,B, 17 586, 9 810, 8 043, 7 322, 5 971, 5 456, 6 479, 6 538, 6 543, 8 267, 9 781, 35 794, 43 550, 68 773, 58 300, 127 257, 425 470
1041,2010,   Poland,,616,B, 13 681, 6 303, 5 398, 7 107, 5 995, 6 303, 7 444, 6 821, 5 166, 4 972, 8 404, 10 238, 21 958, 71 860, 62 325, 136 179, 380 154
1042,2015,   Poland,,616,B, 9 319, 15 918, 6 974, 6 011, 9 310, 10 166, 8 992, 8 638, 7 481, 4 956, 4 066, 6 190, 7 492, 18 828, 67 893, 162 998, 355 232
1043,2020,   Poland,,616,B, 34 558, 27 662, 17 099, 7 826, 14 537, 22 319, 22 601, 19 203, 16 081, 12 499, 8 711, 6 458, 7 773, 7 394, 31 396, 170 688, 426 805
1044,1990,   Republic of Moldova*,,498,B, 7 172, 5 815, 8 314, 11 361, 12 486, 13 067, 15 684, 21 106, 27 430, 30 845, 28 902, 24 488, 21 600, 20 071, 19 255, 38 513, 306 109
1045,1995,   Republic of Moldova*,,498,B, 5 702, 3 756, 3 067, 4 815, 8 956, 7 269, 6 149, 8 398, 14 298, 21 110, 25 778, 24 678, 20 521, 17 118, 14 753, 25 566, 211 934
1046,2000,   Republic of Moldova*,,498,B, 3 574, 2 599, 1 758, 3 791, 7 365, 5 572, 5 038, 4 649, 6 780, 12 878, 17 779, 18 642, 15 367, 12 424, 10 799, 17 716, 146 731
1047,2005,   Republic of Moldova*,,498,B, 4 944, 3 393, 1 094, 1 931, 4 035, 4 619, 4 395, 4 523, 5 858, 8 848, 11 165, 12 083, 9 141, 7 077, 8 900, 11 192, 103 198
1048,2010,   Republic of Moldova*,,498,B, 2 755, 2 027, 1 477, 1 108, 2 735, 3 919, 3 204, 2 810, 2 416, 3 849, 7 231, 9 789, 10 662, 7 890, 5 677, 9 741, 77 290
1049,2015,   Republic of Moldova*,,498,B, 2 812, 1 442,  990, 1 689, 2 404, 3 102, 3 039, 2 503, 2 269, 3 039, 4 497, 6 357, 7 944, 7 275, 5 089, 8 456, 62 907
1050,2020,   Republic of Moldova*,,498,B, 3 129, 1 989,  704, 1 941, 3 417, 4 081, 3 633, 3 140, 2 432, 2 177, 3 151, 4 860, 6 548, 8 008, 5 967, 6 518, 61 695
1051,1990,   Romania,,642,B,  407,  149,  162,  268,  396,  255,  364,  504,  576, 4 826, 8 957, 10 608, 10 047, 11 102, 9 454, 20 149, 78 224
1052,1995,   Romania,,642,B,  711,  813,  819, 1 881, 2 391, 1 939, 1 447, 1 121, 1 068, 3 116, 5 116, 7 524, 9 197, 10 215, 8 699, 18 537, 74 594
1053,2000,   Romania,,642,B,  998, 1 480, 1 479, 3 500, 4 393, 3 628, 2 535, 1 742, 1 564, 1 415, 1 288, 4 458, 8 369, 9 353, 7 964, 16 967, 71 133
1054,2005,   Romania,,642,B, 6 261, 1 996, 1 498, 2 830, 3 873, 3 730, 2 990, 2 332, 1 894, 1 572, 1 375, 3 426, 6 621, 8 248, 7 747, 18 616, 75 009
1055,2010,   Romania,,642,B, 12 396, 2 797, 1 731, 2 563, 3 905, 4 364, 3 872, 3 255, 2 494, 1 954, 1 658, 2 881, 5 814, 8 316, 8 633, 22 911, 89 544
1056,2015,   Romania,,642,B, 29 073, 15 171, 7 180, 5 371, 9 815, 11 904, 9 485, 6 766, 4 667, 3 427, 3 184, 2 316, 1 873, 6 277, 7 137, 10 644, 134 290
1057,2020,   Romania,,642,B, 68 657, 42 831, 23 419, 16 922, 21 048, 25 562, 25 398, 19 986, 14 777, 10 716, 8 246, 6 582, 4 660, 5 464, 7 111, 16 985, 318 364
1058,1990,   Russian Federation,,643,B, 95 371, 219 145, 358 761, 396 675, 449 226, 502 016, 528 768, 586 652, 530 612, 486 469, 318 605, 371 198, 335 643, 196 725, 177 327, 316 333,5 869 526
1059,1995,   Russian Federation,,643,B, 71 675, 167 150, 334 715, 405 146, 442 706, 488 700, 529 452, 582 293, 589 564, 531 418, 409 825, 394 177, 347 726, 206 052, 182 622, 320 254,6 003 475
1060,2000,   Russian Federation,,643,B, 40 719, 104 330, 283 398, 385 411, 427 930, 470 041, 511 972, 547 790, 613 495, 558 471, 499 551, 405 207, 352 133, 210 567, 185 677, 320 754,5 917 446
1061,2005,   Russian Federation,,643,B, 32 940, 75 699, 194 611, 317 316, 420 872, 465 041, 495 661, 526 864, 568 780, 570 574, 541 909, 462 628, 392 323, 237 455, 206 780, 351 538,5 860 991
1062,2010,   Russian Federation,,643,B, 37 144, 63 178, 115 075, 236 647, 411 071, 481 786, 493 266, 504 989, 509 799, 546 763, 545 848, 490 281, 416 974, 262 553, 218 435, 346 500,5 680 309
1063,2015,   Russian Federation,,643,B, 50 104, 71 428, 99 648, 189 897, 390 936, 534 696, 551 243, 536 855, 526 706, 539 676, 558 113, 530 332, 455 586, 293 133, 240 152, 359 560,5 928 065
1064,2020,   Russian Federation,,643,B, 50 747, 71 380, 90 370, 135 293, 252 463, 446 204, 560 037, 555 913, 530 601, 515 647, 517 303, 527 717, 496 969, 426 084, 272 416, 475 678,5 924 822
1065,1990,   Slovakia,,703,B,  186,  486,  571,  806, 1 092, 1 421, 1 539, 1 779, 2 357, 1 696, 1 501, 1 873, 2 174, 1 987, 1 409, 2 231, 23 108
1066,1995,   Slovakia,,703,B,  182,  455,  939, 1 157, 1 353, 1 787, 2 242, 2 751, 3 098, 3 324, 4 300, 3 437, 3 979, 3 161, 2 578, 4 049, 38 792
1067,2000,   Slovakia,,703,B,  262,  632, 1 663, 1 931, 2 167, 2 922, 3 871, 4 747, 5 026, 6 027, 8 510, 6 267, 5 401, 4 247, 4 425, 7 025, 65 123
1068,2005,   Slovakia,,703,B, 2 910, 1 392, 1 302, 1 463, 2 237, 2 908, 3 864, 4 561, 5 093, 5 922, 7 274, 6 571, 7 577, 6 726, 4 662, 7 313, 71 775
1069,2010,   Slovakia,,703,B, 3 538, 1 975, 1 070, 1 252, 2 511, 3 007, 3 438, 4 153, 5 014, 5 980, 6 214, 7 298, 10 551, 7 254, 6 091, 10 035, 79 381
1070,2015,   Slovakia,,703,B, 3 088, 4 336, 1 899, 1 248, 2 506, 4 484, 4 821, 4 878, 5 290, 6 069, 6 552, 6 777, 8 100, 9 872, 6 947, 11 746, 88 613
1071,2020,   Slovakia,,703,B, 4 912, 5 153, 4 144, 1 931, 2 044, 4 175, 5 828, 5 620, 5 509, 5 908, 6 601, 6 569, 7 009, 8 529, 8 977, 13 701, 96 610
1072,1990,   Ukraine*,,804,B, 44 792, 97 649, 161 529, 196 084, 215 609, 253 805, 314 328, 365 350, 375 537, 356 601, 320 913, 281 806, 250 005, 214 184, 191 390, 299 735,3 939 317
1073,1995,   Ukraine*,,804,B, 39 255, 85 427, 140 717, 170 911, 188 120, 221 952, 275 651, 320 874, 330 576, 313 833, 281 093, 243 074, 221 265, 200 164, 189 886, 304 695,3 527 493
1074,2000,   Ukraine*,,804,B, 12 972, 32 525, 68 304, 150 916, 157 982, 173 800, 199 991, 257 088, 314 878, 308 789, 296 191, 265 947, 222 321, 211 148, 203 357, 282 514,3 158 723
1075,2005,   Ukraine*,,804,B, 11 988, 30 069, 62 921, 138 546, 144 473, 158 809, 183 179, 235 998, 289 744, 284 053, 273 758, 244 044, 203 238, 187 399, 182 349, 251 674,2 882 242
1076,2010,   Ukraine*,,804,B, 12 276, 16 899, 34 610, 75 582, 125 027, 151 775, 166 887, 196 451, 243 298, 282 790, 290 674, 276 017, 248 395, 218 123, 200 829, 206 660,2 746 293
1077,2015,   Ukraine*,,804,B, 12 657, 17 427, 35 636, 77 629, 128 002, 155 024, 170 319, 200 745, 249 237, 290 196, 298 702, 283 862, 254 676, 221 146, 200 849, 205 111,2 801 218
1078,2020,   Ukraine*,,804,B, 12 755, 38 940, 43 709, 80 192, 155 944, 217 543, 226 447, 217 347, 223 845, 248 766, 262 022, 255 834, 235 508, 208 672, 182 228, 238 337,2 848 089
1086,1990,   Channel Islands*,7,830,B,  261,  493,  621,  934, 2 479, 3 549, 3 378, 3 175, 2 871, 2 962, 2 883, 1 926, 1 538, 1 390, 1 327, 2 868, 32 655
1087,1995,   Channel Islands*,7,830,B,  257,  485,  610,  918, 2 434, 3 484, 3 304, 3 117, 2 819, 2 908, 2 831, 1 891, 1 510, 1 365, 1 303, 2 815, 32 051
1088,2000,   Channel Islands*,7,830,B,  283,  539,  732, 1 113, 2 331, 3 316, 3 685, 3 455, 3 263, 3 228, 3 010, 2 531, 1 872, 1 172, 1 119, 2 418, 34 067
1089,2005,   Channel Islands*,7,830,B,  284,  580,  873, 1 472, 2 502, 3 421, 3 879, 3 853, 3 685, 3 508, 3 233, 2 825, 2 483, 1 178, 1 124, 2 430, 37 330
1090,2010,   Channel Islands*,7,830,B,  288,  627, 1 020, 1 841, 2 701, 3 568, 4 116, 4 290, 4 141, 3 824, 3 491, 3 146, 2 733, 1 198, 1 143, 2 472, 40 599
1091,2015,   Channel Islands*,7,830,B,  335,  598,  998, 1 786, 2 687, 3 581, 4 209, 4 477, 4 389, 4 089, 3 748, 3 396, 2 983, 1 417, 1 352, 2 924, 42 969
1092,2020,   Channel Islands*,7,830,B,  641,  920,  788, 1 313, 3 449, 4 390, 3 699, 3 495, 3 831, 3 911, 3 732, 3 477, 3 354, 2 640, 1 258, 2 999, 43 897
1093,1990,   Denmark*,8,208,B, 3 323, 6 359, 6 977, 8 812, 12 096, 12 796, 12 009, 10 391, 9 357, 7 624, 5 950, 4 831, 4 617, 4 280, 3 247, 8 109, 120 778
1094,1995,   Denmark*,8,208,B, 3 028, 6 516, 8 128, 9 905, 15 211, 18 097, 17 912, 15 714, 11 680, 9 608, 8 931, 7 467, 6 530, 5 652, 4 512, 7 023, 155 914
1095,2000,   Denmark*,8,208,B, 3 895, 7 902, 10 344, 12 557, 18 319, 22 382, 23 224, 20 466, 16 385, 12 628, 10 576, 8 548, 6 857, 5 242, 3 917, 7 807, 191 049
1096,2005,   Denmark*,8,208,B, 3 284, 6 984, 9 200, 12 721, 22 794, 30 624, 27 485, 24 239, 21 073, 16 714, 12 545, 10 551, 9 543, 6 539, 5 372, 7 618, 227 286
1097,2010,   Denmark*,8,208,B, 4 088, 6 730, 9 134, 12 959, 26 353, 31 818, 29 666, 28 031, 25 727, 21 726, 16 905, 12 788, 9 916, 7 598, 5 632, 9 672, 258 743
1098,2015,   Denmark*,8,208,B, 4 031, 7 974, 8 736, 12 732, 28 524, 37 927, 35 872, 32 513, 29 925, 26 932, 22 221, 16 926, 12 555, 9 434, 6 965, 11 178, 304 445
1099,2020,   Denmark*,8,208,B, 4 411, 10 175, 11 642, 13 697, 31 215, 43 257, 43 796, 39 564, 35 179, 31 571, 27 341, 21 571, 15 998, 11 856, 8 513, 13 312, 363 098
1100,1990,   Estonia,,233,B, 2 239, 4 081, 4 962, 5 146, 8 945, 16 321, 20 221, 19 556, 15 191, 17 398, 20 987, 19 677, 20 503, 13 200, 8 339, 13 540, 210 306
1101,1995,   Estonia,,233,B, 1 244, 2 298, 3 013, 3 597, 5 966, 10 192, 13 135, 14 917, 14 686, 16 124, 17 458, 15 963, 19 800, 14 060, 11 879, 15 155, 179 487
1102,2000,   Estonia,,233,B,  217,  454, 1 000, 2 006, 2 901, 3 873, 5 839, 10 188, 14 270, 14 916, 13 905, 12 206, 19 216, 15 062, 15 663, 16 952, 148 668
1103,2005,   Estonia,,233,B,  514,  614,  804, 1 421, 2 518, 3 498, 4 838, 7 367, 10 412, 12 930, 14 160, 13 426, 16 128, 13 320, 16 057, 21 450, 139 457
1104,2010,   Estonia,,233,B,  815,  776,  608,  833, 2 134, 3 124, 3 820, 4 528, 6 529, 10 935, 14 425, 14 663, 13 023, 11 571, 16 463, 25 999, 130 246
1105,2015,   Estonia,,233,B,  577,  490,  394,  593, 2 217, 2 517, 3 039, 3 660, 4 269, 6 060, 10 245, 13 663, 14 164, 12 537, 10 237, 29 978, 114 640
1106,2020,   Estonia,,233,B,  847, 1 362, 1 041,  967, 3 050, 3 519, 3 502, 3 596, 4 074, 4 705, 6 620, 11 104, 13 842, 13 992, 10 359, 29 930, 112 510
1107,1990,   Faroe Islands*,9,234,B,  107,  142,  176,  200,  231,  253,  174,  115,  126,  99,  66,  38,  26,  31,  28,  33, 1 845
1108,1995,   Faroe Islands*,9,234,B,  52,  98,  109,  139,  100,  127,  150,  110,  87,  96,  77,  56,  30,  23,  27,  44, 1 325
1109,2000,   Faroe Islands*,9,234,B,  158,  174,  121,  115,  108,  133,  160,  168,  112,  91,  97,  77,  53,  29,  24,  52, 1 672
1110,2005,   Faroe Islands*,9,234,B,  147,  314,  216,  127,  110,  140,  182,  200,  185,  121,  101,  93,  74,  51,  26,  46, 2 133
1111,2010,   Faroe Islands*,9,234,B,  134,  248,  338,  199,  113,  143,  177,  186,  204,  192,  121,  89,  90,  63,  46,  53, 2 396
1112,2015,   Faroe Islands*,9,234,B,  147,  235,  280,  341,  159,  140,  173,  202,  205,  195,  197,  124,  84,  80,  58,  82, 2 702
1113,2020,   Faroe Islands*,9,234,B,  216,  305,  288,  311,  254,  194,  223,  231,  240,  224,  202,  205,  118,  84,  72,  103, 3 270
1114,1990,   Finland*,,246,B, 1 282, 2 939, 3 792, 3 482, 3 075, 2 698, 2 406, 1 785, 1 290, 1 174,  904,  793,  850, 1 207, 1 178, 2 718, 31 573
1115,1995,   Finland*,,246,B, 1 314, 3 001, 4 675, 4 932, 5 122, 5 499, 5 376, 4 131, 3 036, 2 405, 1 849, 1 434, 1 503, 1 390, 1 356, 3 131, 50 154
1116,2000,   Finland*,,246,B, 1 263, 2 922, 5 182, 5 977, 7 315, 8 431, 8 502, 6 906, 5 688, 4 162, 2 660, 1 793, 1 849, 1 439, 1 405, 3 240, 68 734
1117,2005,   Finland*,,246,B, 1 726, 3 722, 5 026, 6 358, 9 757, 12 542, 12 243, 10 656, 9 017, 7 004, 4 697, 3 261, 2 655, 1 802, 1 749, 3 525, 95 740
1118,2010,   Finland*,,246,B, 2 021, 4 231, 4 519, 6 213, 10 720, 14 925, 14 792, 13 646, 11 128, 9 222, 7 204, 5 050, 2 923, 1 746, 1 762, 3 274, 113 376
1119,2015,   Finland*,,246,B, 2 392, 5 605, 6 792, 6 846, 11 396, 19 670, 21 302, 18 630, 16 605, 13 120, 10 844, 8 194, 5 517, 2 966, 1 709, 3 953, 155 541
1120,2020,   Finland*,,246,B, 2 302, 6 177, 8 272, 8 652, 11 737, 20 131, 25 131, 24 019, 19 866, 17 388, 13 144, 10 877, 7 828, 4 863, 2 584, 4 259, 187 230
1121,1990,   Iceland,,352,B,  282,  416,  447,  518,  559,  637,  533,  460,  310,  247,  199,  165,  155,  109,  101,  198, 5 336
1122,1995,   Iceland,,352,B,  362,  388,  427,  543,  667,  770,  745,  706,  551,  423,  319,  260,  235,  166,  154,  295, 7 011
1123,2000,   Iceland,,352,B,  440,  368,  414,  574,  777,  906,  954,  948,  787,  596,  436,  354,  314,  222,  206,  389, 8 685
1124,2005,   Iceland,,352,B,  492,  670,  733,  842, 1 400, 1 829, 1 598, 1 354, 1 060,  847,  640,  437,  326,  232,  215,  404, 13 079
1125,2010,   Iceland,,352,B,  528, 1 035, 1 045, 1 084, 2 135, 2 754, 2 232, 1 722, 1 366, 1 114,  824,  533,  309,  220,  204,  367, 17 472
1126,2015,   Iceland,,352,B,  552,  884, 1 107, 1 224, 2 000, 2 650, 2 672, 2 224, 1 740, 1 449, 1 180,  853,  508,  297,  224,  438, 20 002
1127,2020,   Iceland,,352,B,  638, 1 165, 1 306, 1 606, 3 247, 4 257, 3 938, 3 354, 2 718, 2 273, 1 727, 1 322,  856,  483,  302,  516, 29 708
1128,1990,   Ireland,,372,B, 3 068, 6 558, 9 270, 13 632, 13 978, 13 309, 11 086, 9 428, 6 784, 5 814, 4 394, 3 907, 3 508, 3 235, 2 752, 5 145, 115 868
1129,1995,   Ireland,,372,B, 4 420, 7 729, 5 666, 7 150, 12 319, 15 562, 14 888, 11 878, 7 930, 7 037, 5 429, 4 548, 3 449, 3 147, 2 658, 4 998, 118 808
1130,2000,   Ireland,,372,B, 6 112, 10 071, 11 215, 8 603, 17 482, 22 416, 23 653, 20 408, 15 323, 9 828, 8 166, 6 940, 5 348, 3 774, 3 052, 5 202, 177 593
1131,2005,   Ireland,,372,B, 7 434, 13 398, 14 730, 15 464, 33 986, 42 215, 34 467, 31 615, 24 702, 17 761, 11 502, 9 509, 6 977, 5 363, 3 668, 6 345, 279 136
1132,2010,   Ireland,,372,B, 7 136, 15 454, 19 822, 21 383, 37 453, 59 047, 51 431, 41 675, 35 147, 27 083, 18 642, 11 350, 8 399, 5 563, 4 183, 6 334, 370 102
1133,2015,   Ireland,,372,B, 17 530, 21 852, 19 900, 20 055, 23 818, 39 692, 53 264, 44 792, 33 189, 25 310, 21 062, 16 403, 12 970, 11 043, 7 903, 14 135, 382 918
1134,2020,   Ireland,,372,B, 17 727, 21 130, 22 018, 24 288, 26 575, 38 210, 53 158, 58 193, 44 711, 30 692, 23 723, 20 247, 16 157, 12 519, 10 317, 16 835, 436 500
1135,1990,   Isle of Man*,10,833,B,  215,  499,  726,  864,  999, 1 241, 1 376, 1 354, 1 241, 1 392, 1 271, 1 222, 1 263, 1 065, 1 141, 2 529, 18 398
1136,1995,   Isle of Man*,10,833,B,  199,  489,  645,  692, 1 029, 1 393, 1 549, 1 560, 1 368, 1 696, 1 443, 1 258, 1 089, 1 106, 1 185, 2 637, 19 338
1137,2000,   Isle of Man*,10,833,B,  186,  473,  676,  785,  989, 1 297, 1 529, 1 693, 1 677, 1 778, 1 528, 1 497, 1 321, 1 300, 1 028, 2 520, 20 277
1138,2005,   Isle of Man*,10,833,B,  195,  497,  712,  827, 1 041, 1 366, 1 611, 1 784, 1 766, 1 874, 1 611, 1 577, 1 391, 1 339, 1 060, 2 610, 21 261
1139,2010,   Isle of Man*,10,833,B,  204,  395,  590,  840, 1 426, 1 856, 1 887, 1 865, 1 866, 1 717, 1 709, 1 449, 1 454, 1 187, 1 201, 2 440, 22 086
1140,2015,   Isle of Man*,10,833,B,  122,  285,  439,  655,  761,  971, 1 230, 1 414, 1 739, 2 136, 2 225, 2 020, 1 682, 1 800, 1 416, 2 747, 21 642
1141,2020,   Isle of Man*,10,833,B,  186,  260,  348,  553, 1 166, 1 407, 1 266, 1 203, 1 398, 1 647, 2 077, 2 233, 1 925, 1 622, 1 614, 3 148, 22 053
1142,1990,   Latvia,,428,B,  534, 1 697, 4 043, 6 475, 7 871, 10 978, 18 064, 29 659, 37 384, 38 099, 35 319, 33 343, 32 675, 32 022, 31 381, 35 663, 355 207
1143,1995,   Latvia,,428,B,  596, 1 345, 3 017, 4 878, 6 197, 8 760, 14 033, 22 799, 29 432, 31 560, 30 723, 29 440, 28 587, 27 711, 28 930, 35 869, 303 877
1144,2000,   Latvia,,428,B,  640, 1 007, 2 046, 3 364, 4 590, 6 622, 10 177, 16 266, 21 802, 25 150, 26 065, 25 422, 24 418, 23 362, 26 216, 35 399, 252 546
1145,2005,   Latvia,,428,B, 1 042, 1 474, 1 166, 2 048, 6 147, 6 928, 5 953, 8 051, 14 309, 19 927, 23 187, 24 347, 23 497, 22 036, 20 116, 41 752, 221 980
1146,2010,   Latvia,,428,B,  807,  504,  489,  960, 2 170, 3 470, 4 252, 6 105, 10 308, 16 392, 20 719, 21 200, 19 779, 18 244, 24 550, 39 162, 189 111
1147,2015,   Latvia,,428,B, 1 529,  706,  437,  470, 1 022, 1 956, 3 017, 3 782, 5 472, 9 551, 15 229, 19 400, 19 833, 18 386, 16 340, 44 277, 161 407
1148,2020,   Latvia,,428,B, 1 283, 1 860,  728,  551,  843, 1 376, 2 408, 3 218, 3 992, 5 851, 9 963, 15 479, 18 723, 18 892, 15 065, 42 168, 142 400
1149,1990,   Lithuania,,440,B, 4 016, 3 148, 3 632, 4 685, 7 599, 13 458, 17 699, 17 303, 15 144, 13 072, 12 125, 13 472, 18 348, 16 273, 14 608, 10 091, 184 673
1150,1995,   Lithuania,,440,B, 1 743, 1 940, 1 968, 2 830, 3 797, 5 416, 8 867, 13 003, 15 717, 15 529, 13 135, 10 949, 12 188, 14 659, 13 142, 10 063, 144 946
1151,2000,   Lithuania,,440,B,  276,  563, 1 122, 2 106, 2 947, 3 710, 5 505, 9 117, 13 451, 14 440, 12 061, 9 344, 10 345, 11 217, 9 943, 7 618, 113 765
1152,2005,   Lithuania,,440,B, 1 161, 1 272,  899, 1 175, 1 840, 2 950, 4 096, 4 741, 7 762, 10 660, 13 595, 12 165, 10 364, 8 253, 12 341, 13 746, 107 020
1153,2010,   Lithuania,,440,B, 1 434, 1 076,  609,  861, 1 482, 2 218, 2 842, 3 523, 5 416, 8 910, 12 364, 10 303, 7 885, 6 037, 10 048, 16 158, 91 166
1154,2015,   Lithuania,,440,B, 4 169,  785,  626,  505,  778, 1 414, 1 985, 2 501, 3 250, 5 302, 8 432, 11 600, 8 900, 6 595, 5 686, 15 985, 78 513
1155,2020,   Lithuania,,440,B, 4 985, 2 247,  651,  740,  980, 1 226, 1 669, 1 826, 2 316, 3 190, 5 367, 8 845, 11 101, 8 138, 5 252, 13 503, 72 036
1156,1990,   Norway*,,578,B, 2 499, 4 617, 4 692, 5 342, 8 735, 11 860, 11 006, 8 977, 7 884, 6 449, 4 267, 3 492, 3 590, 3 290, 2 217, 4 108, 93 025
1157,1995,   Norway*,,578,B, 2 852, 5 258, 5 953, 7 051, 10 403, 13 962, 14 139, 12 572, 10 363, 8 173, 6 052, 4 961, 4 007, 3 534, 2 383, 4 417, 116 080
1158,2000,   Norway*,,578,B, 3 414, 6 284, 7 649, 9 276, 12 832, 17 085, 18 306, 17 087, 13 600, 10 494, 8 281, 6 794, 4 718, 4 038, 2 721, 5 035, 147 614
1159,2005,   Norway*,,578,B, 4 085, 7 587, 8 873, 10 347, 15 534, 22 977, 23 729, 21 475, 17 881, 14 188, 10 801, 8 108, 5 889, 4 527, 3 051, 5 648, 184 700
1160,2010,   Norway*,,578,B, 5 545, 10 354, 11 810, 13 416, 21 232, 33 292, 33 722, 30 000, 25 605, 20 613, 15 402, 10 986, 8 196, 5 892, 3 971, 7 330, 257 366
1161,2015,   Norway*,,578,B, 6 734, 13 666, 15 539, 16 865, 26 014, 45 789, 50 486, 43 346, 36 211, 29 375, 22 891, 16 379, 11 225, 7 990, 5 610, 8 885, 357 005
1162,2020,   Norway*,,578,B, 4 851, 12 674, 18 185, 19 851, 25 220, 42 662, 56 364, 54 321, 45 772, 37 197, 29 734, 21 997, 15 448, 10 325, 7 492, 10 939, 413 032
1163,1990,   Sweden,,752,B, 6 100, 12 110, 17 645, 25 187, 30 930, 39 564, 40 772, 38 743, 37 168, 32 504, 29 296, 25 210, 18 212, 16 269, 14 720, 21 252, 405 682
1164,1995,   Sweden,,752,B, 5 785, 16 963, 22 136, 22 177, 29 588, 40 672, 46 469, 46 670, 44 334, 43 566, 32 865, 31 143, 28 602, 26 786, 21 135, 26 186, 485 077
1165,2000,   Sweden,,752,B, 4 857, 11 053, 21 094, 26 031, 31 558, 41 087, 48 422, 50 477, 48 604, 45 369, 43 731, 32 650, 30 672, 27 398, 24 792, 35 792, 523 587
1166,2005,   Sweden,,752,B, 6 344, 12 104, 16 887, 26 788, 38 609, 48 321, 53 069, 55 392, 54 609, 51 104, 46 573, 43 969, 32 440, 29 664, 25 451, 45 976, 587 300
1167,2010,   Sweden,,752,B, 7 957, 17 303, 21 253, 27 457, 47 038, 64 283, 65 315, 64 289, 62 617, 58 911, 52 383, 46 843, 42 286, 30 722, 27 903, 52 650, 689 210
1168,2015,   Sweden,,752,B, 9 057, 22 396, 28 661, 33 449, 46 637, 75 041, 85 083, 78 755, 73 505, 68 394, 62 241, 53 831, 47 032, 41 174, 29 170, 61 226, 815 652
1169,2020,   Sweden,,752,B, 12 273, 31 653, 40 699, 45 475, 57 117, 83 495, 105 158, 102 769, 91 159, 81 715, 73 331, 64 307, 54 378, 46 262, 37 786, 68 325, 995 902
1170,1990,   United Kingdom*,11,826,B, 30 331, 51 333, 57 916, 78 356, 146 186, 189 043, 202 513, 190 535, 174 804, 140 549, 134 641, 119 394, 118 930, 100 925, 64 867, 93 515,1 893 838
1171,1995,   United Kingdom*,11,826,B, 35 852, 41 601, 60 418, 101 557, 195 806, 201 342, 234 940, 218 235, 211 784, 174 398, 130 624, 127 585, 119 526, 113 781, 96 818, 112 315,2 176 582
1172,2000,   United Kingdom*,11,826,B, 38 451, 59 543, 73 748, 106 286, 200 409, 258 796, 252 107, 236 768, 229 719, 206 601, 182 487, 140 575, 132 765, 113 443, 106 025, 163 814,2 501 537
1173,2005,   United Kingdom*,11,826,B, 48 404, 55 623, 70 963, 136 105, 358 195, 401 141, 371 815, 290 834, 255 746, 230 204, 201 247, 163 074, 122 376, 126 490, 108 013, 167 749,3 107 979
1174,2010,   United Kingdom*,11,826,B, 53 766, 100 305, 123 021, 158 415, 291 710, 480 708, 462 640, 370 013, 316 691, 275 435, 229 786, 192 508, 153 028, 124 139, 111 644, 221 399,3 665 208
1175,2015,   United Kingdom*,11,826,B, 57 610, 115 336, 133 777, 180 989, 307 591, 503 713, 604 044, 519 470, 415 377, 327 714, 278 969, 241 469, 180 713, 142 362, 128 785, 247 822,4 385 741
1176,2020,   United Kingdom*,11,826,B, 51 465, 122 273, 162 808, 196 272, 316 879, 470 963, 597 689, 631 083, 522 091, 411 917, 329 823, 280 705, 216 058, 169 035, 135 854, 280 249,4 895 164
1184,1990,   Albania,,8,B, 1 466, 1 526, 1 833, 2 143, 2 905, 3 303, 4 207, 4 756, 4 250, 3 061, 1 831, 1 199,  914,  623,  581,  836, 35 434
1185,1995,   Albania,,8,B, 2 622, 2 580, 2 541, 2 596, 2 951, 3 237, 3 773, 4 124, 3 719, 2 738, 1 758, 1 189,  942,  833,  946, 1 521, 38 070
1186,2000,   Albania,,8,B, 4 759, 4 543, 4 073, 4 017, 3 941, 3 391, 3 312, 2 704, 1 955, 1 434, 1 099,  856,  664,  771, 1 058, 2 128, 40 705
1187,2005,   Albania,,8,B, 4 698, 4 419, 3 695, 3 097, 3 140, 1 996, 1 872, 1 383, 1 031,  805,  720,  591,  483,  687, 1 018, 2 111, 31 746
1188,2010,   Albania,,8,B, 4 612, 4 298, 3 424, 2 496, 2 613, 1 112,  963,  551,  449,  408,  480,  421,  365,  629,  983, 2 079, 25 883
1189,2015,   Albania,,8,B, 4 578, 3 368, 3 188, 2 786, 2 311, 2 157, 1 275,  875,  537,  481,  423,  440,  350,  328,  498, 1 919, 25 514
1190,2020,   Albania,,8,B, 4 367, 3 146, 2 387, 2 219, 1 821, 1 736, 1 812, 1 085,  864,  627,  606,  563,  520,  369,  327, 1 453, 23 902
1191,1990,   Andorra,,20,C,  487,  816,  933,  942, 1 514, 2 242, 2 273, 1 869, 1 493, 1 090,  940,  865,  849,  501,  421,  666, 17 901
1192,1995,   Andorra,,20,C,  365,  669,  963, 1 268, 1 668, 2 130, 2 516, 2 367, 1 952, 1 581, 1 173, 1 002,  900,  802,  540,  722, 20 618
1193,2000,   Andorra,,20,C,  144,  338,  567,  698, 1 046, 1 640, 2 206, 2 304, 2 150, 1 802, 1 670, 1 312, 1 004,  918,  846, 1 409, 20 054
